"","DATE","OPEN","HIGH","LOW","CLOSE"
"194","10/28/10",119.06,119.11,117.83,118.48
"195","10/29/10",118.28,118.72,118.07,118.52
"196","11/01/10",119.07,119.75,117.85,118.53
"197","11/02/10",119.42,119.75,119.1,119.48
"198","11/03/10",119.68,120.02,118.45,119.95
"199","11/04/10",121.27,122.32,119.97,122.26
"200","11/05/10",122.34,122.92,122.18,122.73
"201","11/08/10",122.32,122.69,121.94,122.49
"202","11/09/10",122.82,122.95,121.12,121.61
"203","11/10/10",121.58,122.16,120.66,122.1
"204","11/11/10",121.05,121.82,120.68,121.64
"205","11/12/10",120.82,121.35,119.65,120.2
"206","11/15/10",120.58,121.05,119.98,120.03
"207","11/16/10",119.29,119.49,117.59,118.16
"208","11/17/10",118.21,118.71,117.86,118.22
"209","11/18/10",119.36,120.39,119.35,119.96
"210","11/19/10",119.89,120.34,119.25,120.29
"211","11/22/10",119.69,120.24,118.77,120.19
"212","11/23/10",118.77,119.02,117.99,118.45
"213","11/24/10",119.2,120.23,119.18,120.2
"214","11/26/10",119.16,119.81,118.8,118.8
"215","11/29/10",118.5,119.48,117.74,119.16
"216","11/30/10",117.98,119.17,117.81,118.49
"217","12/01/10",120.2,121.24,120.19,121.01
"218","12/02/10",121.2,122.65,121.13,122.56
"219","12/03/10",122.14,123.03,122.11,122.89
"220","12/06/10",122.63,123.04,122.5,122.76
"221","12/07/10",123.94,124.01,122.76,122.83
"222","12/08/10",122.98,123.38,122.41,123.28
"223","12/09/10",123.97,124.02,123.15,123.76
"224","12/10/10",124.14,124.6,123.73,124.48
"225","12/13/10",125.05,125.2,124.52,124.56
"226","12/14/10",124.75,125.23,124.29,124.67
"227","12/15/10",124.44,124.93,123.89,124.1
"228","12/16/10",124.18,124.91,123.75,124.82
"229","12/17/10",124.08,124.46,123.82,124.3
"230","12/20/10",124.64,124.9,123.98,124.6
"231","12/21/10",124.99,125.47,124.87,125.39
"232","12/22/10",125.49,125.82,125.41,125.78
"233","12/23/10",125.64,125.78,125.29,125.6
"234","12/27/10",125.13,125.77,125.04,125.65
"235","12/28/10",125.88,125.95,125.5,125.83
"236","12/29/10",125.98,126.2,125.9,125.92
"237","12/30/10",125.8,126.13,125.53,125.72
"238","12/31/10",125.52,125.87,125.33,125.75
