Date,OIS Score
2006-01-11,-3.868519457
2006-01-12,9.757537573
2006-01-13,15.8447702
2006-01-17,26.79746512
2006-01-18,33.55693645
2006-01-19,4.677702142
2006-01-20,9.184405026
2006-01-23,14.75837385
2006-01-24,-11.8372294
2006-01-25,-5.405153547
2006-01-26,-28.92020417
2006-01-27,-17.34198275
2006-01-30,-3.02355881
2006-01-31,1.541941961
2006-02-01,6.623693598
2006-02-02,11.02236998
2006-02-03,18.49982874
2006-02-06,23.41549717
2006-02-07,18.57470995
2006-02-08,17.28860323
2006-02-09,28.76843216
2006-02-10,30.42734248
2006-02-13,42.77897479
2006-02-14,22.5823042
2006-02-15,20.28772427
2006-02-16,7.804387028
2006-02-17,5.547290038
2006-02-21,18.80729405
2006-02-22,9.55173706
2006-02-23,16.55694233
2006-02-24,10.05463121
2006-02-27,14.2230438
2006-02-28,12.29759712
2006-03-01,-15.05961436
2006-03-02,-2.140597917
2006-03-03,5.417514355
2006-03-06,16.17270059
2006-03-07,12.29727627
2006-03-08,24.29593192
2006-03-09,27.84471953
2006-03-10,12.79773849
2006-03-13,15.93404368
2006-03-14,-4.641883028
2006-03-15,-13.3503761
2006-03-16,-4.000644872
2006-03-17,2.95356536
2006-03-20,15.82570484
2006-03-21,11.94302338
2006-03-22,-6.658069013
2006-03-23,-0.040844354
2006-03-24,-9.408858031
2006-03-27,6.199296739
2006-03-28,18.19237086
2006-03-29,-15.15654947
2006-03-30,-0.333426606
2006-03-31,2.293763514
2006-04-03,15.3609279
2006-04-04,19.60773678
2006-04-05,18.94896003
2006-04-06,24.39964997
2006-04-07,18.83130622
2006-04-10,31.67177561
2006-04-11,22.44474296
2006-04-12,14.3990754
2006-04-13,14.59385899
2006-04-17,29.69476415
2006-04-18,-35.85667925
2006-04-19,-34.40386755
2006-04-20,-22.96105288
2006-04-21,-15.87243351
2006-04-24,-9.779542187
2006-04-25,-5.821805017
2006-04-26,-1.290889618
2006-04-27,8.799896198
2006-04-28,8.485481307
2006-05-01,20.26227179
2006-05-02,14.91449157
2006-05-03,17.80754835
2006-05-04,9.376691597
2006-05-05,2.49945905
2006-05-08,14.2825457
2006-05-09,23.5184906
2006-05-10,31.30343559
2006-05-11,-1.287351687
2006-05-12,-1.935026982
2006-05-15,10.96104758
2006-05-16,11.33957966
2006-05-17,17.24535134
2006-05-18,32.44431504
2006-05-19,32.80165017
2006-05-22,49.65557135
2006-05-23,44.77666894
2006-05-24,58.73960492
2006-05-25,-1.740469775
2006-05-26,-5.519368492
2006-05-30,6.171640184
2006-05-31,-16.01421871
2006-06-01,-54.97429142
2006-06-02,-48.22180792
2006-06-05,-53.90792786
2006-06-06,-43.27403229
2006-06-07,-30.12705118
2006-06-08,0.735082669
2006-06-09,5.924855827
2006-06-12,36.58406119
2006-06-13,49.25921423
2006-06-14,18.71274609
2006-06-15,-70.72631182
2006-06-16,-59.40039682
2006-06-19,-51.13694123
2006-06-20,-48.89788896
2006-06-21,-77.86705198
2006-06-22,-61.02002453
2006-06-23,-54.61314202
2006-06-26,-46.53645406
2006-06-27,-32.68905332
2006-06-28,-16.31926173
2006-06-29,-101.1194055
2006-06-30,-98.57135839
2006-07-03,-91.22365721
2006-07-05,-71.82343972
2006-07-06,-64.17076869
2006-07-07,-56.83423724
2006-07-10,-37.53195974
2006-07-11,-37.89907704
2006-07-12,-22.73927876
2006-07-13,-4.511082911
2006-07-14,4.006869246
2006-07-17,20.75787884
2006-07-18,19.62948116
2006-07-19,-34.45354992
2006-07-20,-36.91479873
2006-07-21,-28.16083595
2006-07-24,-74.21223161
2006-07-25,-63.5262763
2006-07-26,-53.71990247
2006-07-27,-40.81395744
2006-07-28,-63.00033274
2006-07-31,-47.27654176
2006-08-01,-40.1960639
