Existing Posn.,Symbol,Description,Date,Time,Strike Price,Call/Put,Exp.Date,Mid IV,Th.Price,Bid,Asked,Percent O/U,Volume,Open Interest,Delta,Gamma,Vega,Theta,Rho,Prob.Finish.ITM,Last
,SXBCR,Mar 990 Calls,100120,16:00:00,990,C,100319,,149.87,148,151,-0.002,,16,91.661,0.122,75.198,-17.325,139.667,0.999,-1
,SXBDR,Apr 990 Calls,100120,16:00:00,990,C,100416,,152.65,150.7,153.7,-0.003,,,88.043,0.136,116.996,-17.793,195.895,0.994,-1
,SXBER,May 990 Calls,,,990,C,100521,,155.69,,,,,,83.823,0.154,160.32,-16.797,262.047,0.981,
,SXBFR,Jun 990 Calls,,,990,C,100618,,158.34,,,,,,81.204,0.157,191.907,-16.154,311.318,0.968,
,SXBIR,Sep 990 Calls,100120,16:00:00,990,C,100917,0.244,166.43,164.7,168,0,,,75.541,0.149,277.105,-14.172,458.571,0.92,-1
,SXBLR,Dec 990 Calls,,,990,C,101217,,174.26,,,,,,73.745,0.136,345.813,-12.854,590.892,0.876,
,SXBNR,Feb 990 Puts,100120,16:00:00,990,P,100219,0.289,1.82,1.55,1.95,-0.033,1928,2938,-3.359,0.07,31.138,-14.426,-4.366,0,1.95
,SXBOR,Mar 990 Puts,100120,16:00:00,990,P,100319,0.263,5.16,4.7,5.5,-0.012,63,8271,-8.008,0.126,73.231,-16.422,-16.888,0.001,5.1
,SXBPR,Apr 990 Puts,100120,16:00:00,990,P,100416,0.255,9.2,8.6,9.7,-0.005,,,-11.471,0.142,113.504,-16.71,-35.491,0.006,-1
,SXBQR,May 990 Puts,,,990,P,100521,,14.56,,,,,,-15.498,0.164,158.312,-16.289,-64.473,0.019,
,SXBRR,Jun 990 Puts,,,990,P,100618,,18.89,,,,,,-18.184,0.166,190.167,-15.725,-90.924,0.032,
,SXBUR,Sep 990 Puts,100120,16:00:00,990,P,100917,0.242,32.15,30.9,33.6,0.006,221,222,-23.217,0.154,275.59,-13.854,-189.249,0.08,34
,SXBXR,Dec 990 Puts,,,990,P,101217,,44.06,,,,,,-25.327,0.131,343.384,-12.243,-299.703,0.124,
,SXBBS,Feb 995 Calls,100120,16:00:00,995,C,100219,,143.03,141.4,143.8,-0.003,,6,96.355,0.072,32.615,-15.186,77.098,1,-1
,SXBCS,Mar 995 Calls,100120,16:00:00,995,C,100319,,145.16,143.3,146.3,-0.002,,,91.198,0.13,78.244,-17.782,139.491,0.999,-1
,SXBDS,Apr 995 Calls,,,995,C,100416,,148.09,,,,,,87.492,0.143,120.663,-18.133,195.365,0.992,
,SXBES,May 995 Calls,,,995,C,100521,,151.3,,,,,,83.185,0.159,164.477,-17.063,261.034,0.977,
,SXBFS,Jun 995 Calls,,,995,C,100618,,154.07,,,,,,80.543,0.162,196.205,-16.367,309.972,0.963,
,SXBIS,Sep 995 Calls,,,995,C,100917,,162.44,,,,,,74.879,0.153,281.489,-14.333,456.298,0.912,
,SXBLS,Dec 995 Calls,,,995,C,101217,,170.43,,,,,,73.09,0.139,350.005,-12.923,588.04,0.866,
,SXBNS,Feb 995 Puts,100120,16:00:00,995,P,100219,0.287,1.93,1.65,2.25,0.01,1973,4325,-3.603,0.076,32.82,-15.533,-4.661,0,2
,SXBOS,Mar 995 Puts,100120,16:00:00,995,P,100319,0.261,5.45,4.9,6,0,,287,-8.485,0.134,76.338,-17.065,-17.863,0.001,-1
,SXBPS,Apr 995 Puts,,,995,P,100416,,9.65,,,,,,-12.048,0.149,117.327,-17.153,-37.228,0.008,
,SXBQS,May 995 Puts,,,995,P,100521,,15.18,,,,,,-16.194,0.171,162.569,-16.567,-67.17,0.023,
,SXBRS,Jun 995 Puts,,,995,P,100618,,19.62,,,,,,-18.89,0.171,194.593,-15.955,-94.373,0.037,
,SXBUS,Sep 995 Puts,,,995,P,100917,,33.17,,,,,,-23.904,0.157,280.079,-13.941,-194.879,0.088,
,SXBXS,Dec 995 Puts,,,995,P,101217,,45.28,,,,,,-25.95,0.134,347.792,-12.328,-307.346,0.134,
,SPQBT,Feb 1000 Calls,100120,16:00:00,1000,C,100219,,138.14,136.5,138.9,-0.003,,655,96.095,0.078,34.398,-15.732,77.191,1,-1
,SPQCT,Mar 1000 Calls,100120,16:00:00,1000,C,100319,,140.46,138.6,141.6,-0.002,2,47827,90.703,0.137,81.409,-18.247,139.252,0.998,142.39
,SPQDT,Apr 1000 Calls,100120,16:00:00,1000,C,100416,0.253,143.56,141.7,144.7,-0.003,,5,86.911,0.149,124.417,-18.038,194.749,0.99,-1
,SPQET,May 1000 Calls,100120,16:00:00,1000,C,100521,0.247,146.94,145.2,148.2,-0.002,,,82.52,0.165,168.684,-17.145,259.911,0.973,-1
,SPQFT,Jun 1000 Calls,100120,16:00:00,1000,C,100618,0.245,149.82,148,151.3,-0.001,1,27332,79.858,0.167,200.529,-16.523,308.506,0.957,150.3
,SPQIT,Sep 1000 Calls,100120,16:00:00,1000,C,100917,0.241,158.47,156.9,160.1,0,400,1202,74.2,0.156,285.846,-14.45,453.883,0.902,156.3
,SPQLT,Dec 1000 Calls,100120,16:00:00,1000,C,101217,0.24,166.63,164.6,168.2,-0.001,,35485,72.422,0.142,354.152,-12.957,585.029,0.855,-1
,SPQNT,Feb 1000 Puts,100120,16:00:00,1000,P,100219,0.279,2.04,1.9,2.1,-0.02,2967,108668,-3.87,0.082,34.615,-15.687,-4.982,0,2.05
,SPQOT,Mar 1000 Puts,100120,16:00:00,1000,P,100319,0.255,5.75,5.2,5.9,-0.03,2455,167674,-8.995,0.142,79.569,-17.207,-18.902,0.002,6.25
,SPQPT,Apr 1000 Puts,100120,16:00:00,1000,P,100416,0.252,10.11,9.9,10.9,0.029,9375,17827,-12.655,0.156,121.242,-17.888,-39.056,0.01,10.5
,SPQQT,May 1000 Puts,100120,16:00:00,1000,P,100521,0.246,15.83,15.3,16.7,0.011,,6,-16.92,0.177,166.886,-16.967,-69.985,0.027,-1
,SPQRT,Jun 1000 Puts,100120,16:00:00,1000,P,100618,0.244,20.39,20,21.2,0.01,148,61202,-19.621,0.176,199.047,-16.289,-97.948,0.043,20.3
,SPQUT,Sep 1000 Puts,100120,16:00:00,1000,P,100917,0.238,34.21,32.9,35.6,0.001,,8320,-24.608,0.161,284.54,-14.066,-200.654,0.098,-1
,SPQXT,Dec 1000 Puts,100120,16:00:00,1000,P,101217,0.234,46.52,44.8,47.9,-0.003,800,69565,-26.586,0.136,352.144,-12.376,-315.14,0.145,46.7
,SPQBA,Feb 1005 Calls,100120,16:00:00,1005,C,100219,,133.27,131.7,134,-0.003,,2,95.811,0.085,36.303,-16.305,77.255,1,-1
,SPQCA,Mar 1005 Calls,100120,16:00:00,1005,C,100319,,135.78,133.9,136.9,-0.003,,,90.175,0.145,84.695,-18.72,138.947,0.997,-1
,SPQDA,Apr 1005 Calls,,,1005,C,100416,,139.04,,,,,,86.3,0.156,128.257,-18.814,194.041,0.987,
,SPQEA,May 1005 Calls,,,1005,C,100521,,142.61,,,,,,81.828,0.171,172.936,-17.587,258.674,0.968,
,SPQFA,Jun 1005 Calls,,,1005,C,100618,,145.6,,,,,,79.149,0.173,204.872,-16.782,306.914,0.95,
,SPQIA,Sep 1005 Calls,,,1005,C,100917,,154.54,,,,,,73.505,0.159,290.171,-14.563,451.325,0.893,
,SPQLA,Dec 1005 Calls,,,1005,C,101217,,162.86,,,,,,71.739,0.144,358.25,-13.054,581.858,0.844,
,SPQNA,Feb 1005 Puts,100120,16:00:00,1005,P,100219,0.273,2.17,1.9,2.3,-0.023,1755,1740,-4.162,0.089,36.531,-16.158,-5.332,0,2.5
,SPQOA,Mar 1005 Puts,100120,16:00:00,1005,P,100319,0.255,6.07,5.7,6.6,0.016,3,101,-9.539,0.15,82.926,-18.22,-20.009,0.003,6.5
,SPQPA,Apr 1005 Puts,,,1005,P,100416,,10.61,,,,,,-13.296,0.163,125.249,-17.899,-40.979,0.013,
,SPQQA,May 1005 Puts,,,1005,P,100521,,16.5,,,,,,-17.678,0.184,171.256,-17.123,-72.921,0.032,
,SPQRA,Jun 1005 Puts,,,1005,P,100618,,21.2,,,,,,-20.377,0.182,203.52,-16.405,-101.653,0.05,
,SPQUA,Sep 1005 Puts,,,1005,P,100917,,35.29,,,,,,-25.329,0.164,288.967,-14.186,-206.576,0.107,
,SPQXA,Dec 1005 Puts,,,1005,P,101217,,47.8,,,,,,-27.233,0.138,356.432,-12.486,-323.085,0.156,
,SPQBB,Feb 1010 Calls,100120,16:00:00,1010,C,100219,,128.4,126.8,129.1,-0.004,,37,95.499,0.092,38.337,-16.904,77.287,1,-1
,SPQCB,Mar 1010 Calls,100120,16:00:00,1010,C,100319,,131.12,129.3,132.3,-0.002,,,89.611,0.154,88.103,-19.201,138.57,0.996,-1
,SPQDB,Apr 1010 Calls,100120,16:00:00,1010,C,100416,0.247,134.56,132.7,135.7,-0.003,,,85.656,0.164,132.18,-18.789,193.237,0.984,-1
,SPQEB,May 1010 Calls,,,1010,C,100521,,138.32,,,,,,81.107,0.177,177.227,-17.843,257.32,0.961,
,SPQFB,Jun 1010 Calls,,,1010,C,100618,,141.42,,,,,,78.416,0.178,209.228,-16.982,305.194,0.942,
,SPQIB,Sep 1010 Calls,,,1010,C,100917,,150.64,,,,,,72.774,0.17,294.456,-14.671,448.621,0.882,
,SPQLB,Dec 1010 Calls,,,1010,C,101217,,159.12,,,,,,71.043,0.147,362.29,-13.114,578.525,0.833,
,SPQNB,Feb 1010 Puts,100120,16:00:00,1010,P,100219,0.268,2.3,2,2.5,-0.022,442,3144,-4.483,0.096,38.577,-16.756,-5.713,0,2.3
,SPQOB,Mar 1010 Puts,100120,16:00:00,1010,P,100319,0.251,6.42,5.9,7,0.012,32,1451,-10.12,0.159,86.411,-18.725,-21.189,0.004,7.4
,SPQPB,Apr 1010 Puts,100120,16:00:00,1010,P,100416,0.245,11.13,10.7,12,0.02,,,-13.992,0.18,129.342,-18.491,-43.002,0.016,-1
,SPQQB,May 1010 Puts,,,1010,P,100521,,17.22,,,,,,-18.468,0.191,175.671,-17.398,-75.983,0.039,
,SPQRB,Jun 1010 Puts,,,1010,P,100618,,22.03,,,,,,-21.16,0.188,208.005,-16.624,-105.49,0.058,
,SPQUB,Sep 1010 Puts,,,1010,P,100917,,36.4,,,,,,-26.068,0.168,293.352,-14.302,-212.647,0.118,
,SPQXB,Dec 1010 Puts,,,1010,P,101217,,49.11,,,,,,-27.892,0.141,360.652,-12.56,-331.184,0.167,
,SPQBC,Feb 1015 Calls,100120,16:00:00,1015,C,100219,,123.55,122,124.3,-0.003,,,95.157,0.101,40.508,-17.531,77.285,1,-1
,SPQCC,Mar 1015 Calls,100120,16:00:00,1015,C,100319,,126.49,124.7,127.7,-0.002,,,89.01,0.163,91.635,-19.688,138.116,0.994,-1
,SPQDC,Apr 1015 Calls,,,1015,C,100416,,130.1,,,,,,84.978,0.171,136.18,-19.491,192.332,0.979,
,SPQEC,May 1015 Calls,,,1015,C,100521,,134.05,,,,,,80.357,0.184,181.549,-18.094,255.843,0.955,
,SPQFC,Jun 1015 Calls,,,1015,C,100618,,137.26,,,,,,77.656,0.183,213.588,-17.177,303.342,0.933,
,SPQIC,Sep 1015 Calls,,,1015,C,100917,,146.77,,,,,,72.004,0.174,298.696,-14.775,445.765,0.871,
,SPQLC,Dec 1015 Calls,,,1015,C,101217,,155.42,,,,,,70.333,0.15,366.267,-13.171,575.031,0.821,
,SPQNC,Feb 1015 Puts,100120,16:00:00,1015,P,100219,0.264,2.45,2.15,2.75,0,2127,5173,-4.835,0.105,40.761,-17.708,-6.13,0,2.5
,SPQOC,Mar 1015 Puts,100120,16:00:00,1015,P,100319,0.247,6.78,6.3,7.3,0.01,3213,896,-10.74,0.169,90.022,-19.149,-22.447,0.006,7.95
,SPQPC,Apr 1015 Puts,,,1015,P,100416,,11.68,,,,,,-14.757,0.189,133.526,-18.648,-45.134,0.021,
,SPQQC,May 1015 Puts,,,1015,P,100521,,17.97,,,,,,-19.292,0.198,180.124,-17.67,-79.175,0.045,
,SPQRC,Jun 1015 Puts,,,1015,P,100618,,22.91,,,,,,-21.971,0.193,212.493,-16.839,-109.463,0.067,
,SPQUC,Sep 1015 Puts,,,1015,P,100917,,37.54,,,,,,-26.823,0.171,297.688,-14.412,-218.869,0.129,
,SPQXC,Dec 1015 Puts,,,1015,P,101217,,50.44,,,,,,-28.562,0.143,364.797,-12.629,-339.436,0.179,
,SPQBD,Feb 1020 Calls,100120,16:00:00,1020,C,100219,,118.71,117.1,119.5,-0.003,,176,94.78,0.11,42.827,-18.186,77.244,1,-1
,SPQCD,Mar 1020 Calls,100120,16:00:00,1020,C,100319,0.243,121.88,120.1,123.1,-0.002,,,88.367,0.173,95.289,-19.646,137.582,0.992,-1
,SPQDD,Apr 1020 Calls,100120,16:00:00,1020,C,100416,0.241,125.67,123.9,126.9,-0.002,,,84.264,0.179,140.254,-19.535,191.321,0.974,-1
,SPQED,May 1020 Calls,,,1020,C,100521,,129.81,,,,,,79.576,0.19,185.895,-18.34,254.241,0.947,
,SPQFD,Jun 1020 Calls,,,1020,C,100618,,133.15,,,,,,76.871,0.189,217.945,-17.366,301.355,0.924,
,SPQID,Sep 1020 Calls,,,1020,C,100917,,142.94,,,,,,71.214,0.177,302.885,-14.874,442.755,0.859,
,SPQLD,Dec 1020 Calls,,,1020,C,101217,,151.76,,,,,,69.609,0.153,370.175,-13.225,571.373,0.808,
,SPQND,Feb 1020 Puts,100120,16:00:00,1020,P,100219,0.26,2.62,2.35,2.95,0.015,1986,3282,-5.221,0.114,43.091,-18.593,-6.585,0,2.96
,SPQOD,Mar 1020 Puts,100120,16:00:00,1020,P,100319,0.244,7.18,6.8,7.7,0.01,23,2170,-11.403,0.179,93.76,-19.756,-23.789,0.008,7.25
,SPQPD,Apr 1020 Puts,100120,16:00:00,1020,P,100416,0.241,12.26,12,13.3,0.032,,4,-15.565,0.198,137.795,-19.462,-47.383,0.026,-1
,SPQQD,May 1020 Puts,,,1020,P,100521,,18.75,,,,,,-20.149,0.206,184.604,-17.938,-82.501,0.053,
,SPQRD,Jun 1020 Puts,,,1020,P,100618,,23.81,,,,,,-22.808,0.199,216.976,-17.047,-113.576,0.076,
,SPQUD,Sep 1020 Puts,,,1020,P,100917,,38.72,,,,,,-27.596,0.175,301.967,-14.518,-225.242,0.141,
,SPQXD,Dec 1020 Puts,,,1020,P,101217,,51.82,,,,,,-29.245,0.146,368.862,-12.694,-347.843,0.192,
